street,city,state,zipcode
2401 8th Ave N #202 ,seattle,WA,90109
Gates Canyon Rd,vacaville,CA,0
21005 NW 14th Place 346 # 3,miami gardens,FL,3316
442 Lake Louise Dr SW ,lakewood,WA,98489
Cornejo Ricardo Descalzi ,quito ecuador,NY,0
6789 White River Home ,other city value - out of area,NY,123456
181 Huntington Acres Rd,huntington,VT,05642
141 Crandon Blvd #345 ,key biscayne,FL,33249
Ber Mar LOT 88,san antonio,TX,78697
2315 Gerritsen Ave Unit 3A ,brooklyn,NY,112229
301 Altara #402 ,coral gables,FL,331446
1203 Fitchie Pl ,durham,NC,22703
80 SW 177 Ave,miami,FL,33000
Ber Mar #Lot 88,san antonio,TX,78697
0 N Gopher Canyon Rd,bonsall,CA,--
1744 N Dixie Hwy # 1744,fort lauderdale,FL,--
0 Airport Rd ,winston salem,NC,2105
SW Campbellton Rd,atlanta,GA,27000
000 U.S. Hwy 359,laredo,TX,0
435 pescador ,foreign country,OS,00000
28405 Aurora Rd ,solon,OH,44037
0 American Way Rd ,memphis,TN,38818
1001 Panama ,other city value - out of area,FL,5940
22115 Military Rd ,seatac,WA,98798
